target,source
akankah kau lebih senang dengan bentuk latihan berat lainnya?,Would you prefer another form of moderate exercise?
Kau tahu...,YOU KNOW VERY WELL I DO.
Ambil helmnya,Get the helmets.
Sial. Hai.,Holy shit.
Yang Mulia...,Your Highness...
Tiga cangkir kopi.,Three cups of coffee.
Aku berterima kasih.,You have my thanks.
Kau mendapatkan malam yang tenang.,You have earned a night off.
"Kami akan berikan arahnya yang jelas, lokasi tempat kau menaruh uangnya.",We'll give you explicit directions on where to make the drop-off.
"Dengan unicorn-mu dan tas pinggangmu, kau benar-benar hebat!","You had a unicorn shirt, a fanny pack, and it totally worked!"
Kau mau saus sambal di buncismu?,Would you like some hot sauce on your beans?
Ya.,Yes.
"Harry, ini salah.","Harry, this is wrong."
"Dan pagi ini kepala terbentur, tapi aku bisa menjahitnya dengan benang gigi.","And this morning my head fell off, but I was able to sew it back on with dental floss."
♪ I'll fly away... ♪,♪ I'll fly away... ♪
Dasar jahanam.,Son of a bitch.
Oh.,Oh.
Mau satu ronde lagi?,Want another round?
l cinta menari,I love dancing
Ini pesta.,It's a party.
Nona Shen.,Miss Shen.
Tunjukan pada badut ini cara bermain pong Bir./ Ya!,"Let's show these clown dicks how to pong, baby. - Fuck, yeah! - Fuck, yeah!"
- aku kira begitu.,- I think so.
"Sial, kita kehilangan dua kamera.","Oh, shit. We've lost them both."
"David, ibuku mengambil fotoku di telinga tikus dan berdiri di depan istana dongeng.","David, I promised my mother a picture of me in mouse ears standing in front of the fairy tale castle."
- Apa ?,- What?
"Violet.""","Violet."""
"Tapi kau ... Berumur 1200 tahun , Anda berperilaku seperti anak kecil.","But you... 1200 years old, you behave like a child."
"Ya, kita akan.","Yes, we will."
Tindakan sirkus apa?,What circus act?
"Waktu kau menyerah dan jadi lemah, Shaw, hari-hari di mana kau rapuh.","The day you gave into your weakness, Shaw, that was the day you became obsolete."
"Dengar, aku hanya mencoba membantumu agar kau menemukan kebahagiaan.","Look, I'm just trying to help you find happiness."
"Dan kemudian mulai, berburu.","And then it began, the hunt."
Dia jatuh.,He fell.
Aku tidak mungkin bisa melewati pengamanan bandara.,I never would've made it through security.
Apa maksudmu?,What do you mean?
♪ Kamilah legenda di lantai dansa ♪,"""We're the legends of the dance-floor."""
Kami melihat sebuah rilis besar atmosfer karbon dioksida ke udara dari vegetasi.,We saw a large release of atmospheric carbon dioxide to the air from the vegetation.
"Kumohon, Ayahanda, tinggalkan aku sendiri dengan rasa malu dan kesedihan!","Please, Daddy, leave me alone with my shame and sorrow!"
"Jumpa lagi, Rod, aku sangat merindukanmu, kau tahu itu?","See you, Rodder, I fuckin' love you sometimes. Do you know that?"
Terima kasih untuk parkir gratis.,Thanks for the free parking.
"Tidak, aku pikir aku sudah menunggu cukup lama, Dale.","No, I think I've waited long enough, Dale."
"Aku bilang ini hanya pekerjaan, tak ada yang lain.","I only told work, nobody else."
- Aku berusaha.,-I tried.
Apakah Kamu masih disana?,Are you still there?
Belgium Chocolate...enak.,Belgium-chocolate...nice.
Sampai jumpa lagi.,See ya later.
Sampai ketemu disana.,See you there.
Apa lagi yang kita butuhkan?,What else do we need?
Dewa melindungi kita.,Gods protect us.
Aku cuma ingin ini berakhir. Malam ini.,I just want this to be over... tonight.
"* Oh, darah ibunya akan mengental *","Oh, her mother's blood will curdle"
Apakah Anda memberitahu orang di CTU di mana kami seharusnya bertemu dengannya?,Did you tell anyone at CTU where we were supposed to meet him? No.
Bagian terakhir yang paling sulit.,The last part's the most difficult.
"Ada banyak faktor, tapi itu umur saksi yang benar-benar pas sekali.","There are many factors, but it's the age of the witness that really cinched it."
Iya.,Okay.
Kami akan menggantung elegan lukisan minyak di sini .,We'll hang an elegant oil painting up here.
Akan kucari mereka!,And I'll find them!
"Teman, kamu tidak akan pernah bisa menerbangkan pesawat ruang luar angkasa jika kamu membuka rahasia pernikahan.","Man, you're never gonna get to fly the space shuttle if you marry a stripper."
Kau yakin?,Are you sure?
Aku pernah tanya pada ketua suku kapan aku lahir dan dia bilang..,"I asked one of the tribal elders when I was born, and he said,"
Mengapa?,Why?
Dan aku tahu mengenai peta ini seperti halnya dirimu.,And I know just as much about this map as you.
Pak Sahai ...,- Mr. Sahai...
Kurasa aku juga takkan merasa terpukul.,"I don't think I would have been devastated, either."
Dia adalah kutukan bagi kita.,He is a curse upon us.
Dia juga menginginkan Kelly.,It also wants Kelly.
-Minggir!,-Move!
"Kawan, temani si pandai besi sementara aku berkenalan dengan si kuda betina ini!","Boys, keep the blacksmith company while I get acquainted with the filly!"
Aku bisa bantu.,I can help.
Kita rekaman secara digital.,We record digitally.
Bom itu tidak bisa dijinakkan.,The bomb can't be defused.
"Aku sudah mendengar soal penganut-penganut Kristen,... ..dan juga Tuhan mereka.","I have heard of christians, and of their God."
"Inhibitor adalah satu-satunya cara yang efektif untuk memperlambat pementasan penyakit ini, sementara meredam timbulnya emosi.","Inhibitors are the only effective means of slowing the disease's staging, while dampening the onset of emotion."
maaf.,Sorry.
- Hanya duduk ketat. Jadilah dengan Anda dalam sedikit.,Just sit tight -be with you in a bit.
Apakahandabaik-baiksaja?,Are you okay?
"Kau bisamembantuku, kan?","You can help me, can't you?"
Hai.,Hey.
Susah dikatakan.,It's too hard to say.
"Dan mereka baru saja kehilangan mereka keperawanan, dan dia mencintainya Dan lagu yang sama bermain di radio mobil.","And they just lost their virginity, and she loves him and the same song is playing on the car radio."
"Marion yang paling kecil kekhawatiran Anda, percaya padaku, Indy.","Marion's the least of your worries, believe me, Indy."
Hanya berjalan di depan... kanan,Just walk ahead... right
Ayah selalu berpikir pasti Joe orangnya.,Father always thought it would be Joe.
"Minggirlah, bulu babi kecil.","Get out the way, you little urchin."
Mesin penjawab juga mati.,You weren't answering.
"""Ayanami""!",Ayanami!
Kukira aku bisa mengandalkanmu.,I thought I could depend on you.
Kaa harus bangkit dari apa yang terjadi pada istrimu.,You should move on from what happened to your wife.
Kita tahu bahwa mereka tidak melacakmu karena kau bergerak sendiri.,We know that they're not tracking you because you're freelancing.
Aku tidak bohong.,It's no lie.
"Kau mungkin bukan orang yang paling bijak, tetapi sebagai pemberi masukan, kau tak terkalahkan.","You may not be the most luminous of people, but as a - conductor of light, you are unbeatable."
"""Dia bisa membahayakan kariernya.""","""He's going to put his career at risk."""
"Dan dia mengatakan, bahwa kau takkan pernah benar-benar mengalami kesenangan, tanpa merasakan sakit.",And he said that you could never truly experience pleasure without going through pain.
Kau tak apa?,Are you all right?
"Oi, lihat aku, kamu bisa melakukan ini.","Oi, look at me, you can do this."
"Dia meneken kontrak drama yang dibencinya, saat tahu kamu ingin drama tersebut.",She signs the contract for the drama she doesn't like when she hears that you want it.
Berikan aku teleponmu.,Give me your phone.
- Seperti sekumpulan Gadis.,- Like a bunch of girls.
Kau benar.,You're right.
Aku hanya berusaha mencari nafkah!,"I'm just trying to make a living, okay?"
"Aku menyayangimu, Nathan.","I love you, Nathan."
Aku tidak akan pergi sampai kau membelikanku sapi.,"Until you buy me a cow, I'll never leave."
- Persetan denganmu!,- Fuck you!
"Hi , Sayang .","Hi, Sweetheart."
Itu membuat apa kau lakukan di sini... penting. Buang-buang waktu?,"That makes what you're doing here unimportant, a waste of time?"
Saya percaya Anda.,I trusted you.
Kau benar-benar mau aksi terakhirmu menjadi kebohongan lain?,You really want your final act to be another lie?
Bisakah matikan musiknya sebentar?,Can I just turn this music off for a minute?
Saya beranggapan semuanya berjalan baik di desa.,I assume that everything went well in the village.
"Kecuali dia seorang drooling sayur, tapi saya pikir itu hanya akal sehat.","Unless he's a drooling vegetable, but I think that's only common sense."
"Jimmy Cliff's ""Many Rivers to Cross"" plays","Jimmy Cliff's ""Many Rivers to Cross"" plays"
Itu tindik lidahku...,There's my tongue ring...
Sassy-frass!,Sassy-frass!
Apa yg terjadi?,What happened?
Mengapa ia menusukmu?,Why would he stab you?
"Rick, Anda harus berhenti ...","Rick, you gotta stop..."
"Tunggu sebentar disana, kawan.","Hold on one second there, guys."
Karena aku ingin mengantisipasi ketegangan seperti ini.. ...dan memperkecil respon.,Probably because I anticipated this warm and encouraging response.
"- Ini bukan ilusi, kan?","- It's delusion, isn't it?"
"Hei, kau.",Hey there.
Resepsionis.,The receptionist.
Kau lakukan tugas hebat.,You did a great job.
Preposterous.,Preposterous.
Jangan mendengarkan ke dia.,Don't listen to him.
[TERISAK-ISAK] Hentikan!,Stop! No more!
"- Nak, ini abangmu, Benjamin.","- Child, it's your brother, Benjamin."
Aku yang mereka inginkan. Paham?,I'm who they want.
Ayo.,Come.
Jika kau memelukku tandanya masih cinta ..,If you are to keep hugging your machines and me my..
Dia mendapat gelar Ph.D. dalam matematika.,He has a Ph.D. In mathematics.
pada masa lalu ingin berfoto bersama? ini.. baru cara yang tepat,"""would you like to take a picture together?"", or ""what about this?"" that should the proper terms to use."
"Ya, dan namanya adalah Lois.","- Yeah, and her name is lois."
Sampai jumpa.,You spend too much time thinking about what things mean.
Apa kau sadar bahwa menukar Toolbox itu adalah..,You do realize that it was my plan
Ya?,Yes?
Gadis-gadis Big Tater semuanya adalah keluarga.,Tater's girls are all family.
Dia akan membiarkanmu meminjam kemejanya untuk hari ini saja.,He'll let you borrow the shirt for just today.
Aku tak tau.,I do not know.
bagaimana keputusannya?,"What's it gonna be, man?"
Astaga!,Virgin Mother!
"-Yeah, tunggu sebentar.","- Yeah, hold on."
Dia masih hidup?,He still alive?
Astaga!,Oh God!
"Mereka hanya berdiri, bingung, tidak melarikan diri.","They just stood there, confused. They wouldn't run."
Aku pikir bahwa kita akan berperilaku sebagai orang dewasa setelah perceraian.,I thought we'd be adults the first time we saw each other after the divorce.
[Berdengung],[ Buzzing ]
"Ya, mereka bisa tinggal di tempatku.","Yeah, they can stay at my place."
Semuanya telah menuju hal ini.,It's all been leading up to this.
Aku otot dalam pena ini.,I'm the muscle in this pen.
Semua orang coba menggodanya.,Everybody trying to bum-rush them.
Apa?,What?
"Kau lihat, teman.","You see, man."
Aku milikmu.,I am yours.
Frye. / Itu cuma lelucon.,- Frye. - It was supposed to be a joke.
Kalian tidak bisa,But you can't.
"Apa yang kita lakukan, sekarang, adalah hanya bergerak sedikit dan melihat apakah kita dapat melihat ovarium Anda.","What we do, now, is to just move around a bit and see whether we can see your ovaries."
"Sekarang, kalau kau berkata lagi...","- Now, if you even mention it..."
Tidak bisa.,No way.
"Tidak, tidak, tidak.","Oh, no, no, no."
Kenapa mereka mengundangnya?,Why did they invite her?
Saya lakukan .,I do.
Tanpa tujuan.,Aimless.
Crossword?,Crossword?
Tidak ada di sini adalah set.,Nothing here is set.
Hai.,Hi.
Aiee!,Aiee!
Dari hampir meninggal menjadi hidup,From near death to life.
"Ya, aku tahu kau sibuk dengan janji perawatan rambutmu dan pijat Watsu-mu dan usahamu untuk tetap muda supaya suamimu tak meninggalkanmu, tapi dengarkan ini... Kenapa kau tak makan malam dengan anakmu sesekali dalam sebulan?","Yeah, I know that you're really busy with your hair appointments and your Watsu massages and your attempts to stay young so your husband won't leave you, but here's an idea... why don't you try eating dinner with your child"
"Tidak, itu adalah ide-ide bagus.","No, those are great ideas."
"Ada lebih dari satu masjid di dunia yang digunakan untuk gereja, dan sebelum itu adalah sebuah kuil.","There's more than one mosque in the world that used to be a church, and before that was a temple."
Oh.,Oh.
Apa... itu bukan hal yang baik di bidang ini.,Which is not a good thing in this business.
Sambungkan panggilan.,"Hents, connect call."
Apakah Kau menyukai Rahul?,Did you like Rahul?
"Kau harus mengatakan bagaimana hebatnya dirimu kepada mereka,","You need to tell them how great you are all the time,"
- Kalian.,"- Ah, there you are."
Dia orang yang membawaku kemari.,He's the one who brought me here.
"Judulnya, Aku tak bisa bilang...","The title, I can't actually say..."
"Ya, dia bilang putrinya berada di terowongan dekat jembatan Won-hyo.","Yes, he says his daughter is in a sewer near Won-hyo bridge."
Maafkan aku./ Jangan meminta maaf.,- I'm sorry. - Don't be sorry.
"Di tempat umum, namaku Marv.","In public, it's Marv."
orang yg mencurigakan.,"There was this creepy, weird guy. He lurked among the trees."
tunggu sebentar apa ini?,Wait a second. What is it?
- Ya!,- Yeah!
"Baiklah, aku akan mengurus kedua orang itu.","All right! I will take those two. You watch my back, right!"
"Ya, alat untuk semua benda!",Tools for any contingency!
Pentahapan dari unit ke unit Dan menjalankan perhitungan yang diperlukan Untuk menjalankan kedua perangkat alien.,Phasing from unit to unit and running the necessary calculations to run both alien devices.
Ini omong kosong kau melawan untuk melindungi dan kemudian mobil berhenti.,It's the shit you fought to protect and then the car stops.
Mereka berbusana sangat baik dan berbicara sangat cakap.,They were very well-dressed and very well-spoken.
Bagaimana aku bisa pergi ke negeri yang asing?,♫ How do I go to a foreign land? ♪
Jangan meminta izin.,Don't ask permission.
- Ya.,- Yeah.
Tuhan pernah mengalahkan dia sebelumnya.,God kicked this thing's ass once before.
Menakjubkan.,Amazing
Aku akan menaikkan gajinya bulan depan.,I was going to raise his pay next month.
"Saat tubuhnya sudah tidak dikenali, kita akan menyayat paha bagian dalamnya untuk mengeringkan cairan tubuhnya dan mempercepat pembusukan mayatnya,","Once her body is unrecognizable, we can create an incision on her inner thigh and drain out all of her bodily fluids. That'll give us more time to deconstruct the body. Ew!"
Aku janji.,I promise.
Mereka yang tidak patuh akan dihabisi.,You can never be their match!
Mundur.,Get back.
Kau siap?,You ready?
- Ya!,- Yes!
Awak tak kentut ke?,Don't you fart?
- Mm.,- Mm.
Jangan.,Don't.
Aku selalu menyayangimu.,I always loved you.
Lalu kolega anda mulai menembaki.,And your collegues started shooting.
"Rasa sakit itu, Rains...adalah kelemahan dari tubuh Kita.","My pain, ""Raines"" is Weakness leaving your body"
Tapi kehidupan alam semesta bermain keluar pada skala yang lebih megah.,But the life of the universe plays out on a much grander scale.
Dan orang-orang yang memenangkan putaran terakhir dengan minuman mereka dan beberapa mil jarak mereka akan menjadi hidangan.,And the people who won the last round with their grande lattes and their frequent flyer miles are about to become the buffet.
"Oh, Simoncelli terjatuh!","COMMENTATOR: Oh, Simoncelli's gone down!"
"Kemana, Cap?","Where to, Cap?"
"Bebas kan dia, Jonesy.","Release him, jonesy."
- Ball!,- Ball!
"Selesaikan sekolah, dan kemudian cari seorang istri.","Finish school, and then find a wife."
Tidak ada telpon sama sekali.,No call at all.
Dia tinggal sedikit lagi.,Yeah. He's close.
Apakah Anda baik-baik saja?,Are you all right?
Cornwall!,Cornwall!
Suruh semua orang ke dalam sampai semua dibersihkan.,Keep your people inside until this has been cleared up.
"Jadi, datang malam ini? Tikala Manado INDONESIA",- You gonna come to the show tonight?
Raavan si penculik orang.,A Raavan who abducts people.
Bisa kau tolong urus dia?,Will you take care of him?
Dia suka memasak...,She loves cooking...
Aku tak tahu mengapa kita tak pernah kesini sebelumnya.,I don't know why we've never been here before.
Aku rasa mungkin aku harus keluar,I think I may have to quit.
Lalu aku mendengar Sangkakala pertama.,Then I heard the first trumpet.
"Tak boleh ada Musketeers ku, atau putranya Berpakaian seperti gelandangan",Can't have my Musketeers - or a son of one - looking like tramps.
"Apa yang..,..",What the...
Jadi jelas mereka tak tahu tentang polis asuransi atau mereka tahu lebih banyak.,So obviously they don't know about the insurance policy or they'd be after a lot more.
Yang banyak waktu.,Which is plenty of time.
Kita akan lakukan tugas dan pulang.,We'll do the job and go home.
Aku memilihmu karena bantahan pembelaan dirimu menunjukan kau bisa berpikir dengan baik.,Because I thought I picked you because your self-defense argument showed you think well on your feet.
Apa yang kau tak tahu adalah bahwa ketika alam semesta mengembang lagi. Semuanya akan seperti sekarang.,"What you don't know is that when the universe expands again, everything will be as it is now."
Kira saya akan lebih baik pergi.,Guess I'd better go.
Dan mobil itu kosong di Stasiun St James's Park.,And the car is empty at St James's Park Station.
Sebuah garis celana jeans biru.,A line of blue jeans.
Mereka sudah mati.,They're dead.
Tidak!,Both
"Nak, aku tak ada kesempatan berterima kasih dengan baik.",Son.. I didn't get a chance to thank you properly then.
Mengapa?,Why ?
Aman.,It's clean.
Apakah dia benar-benar datang?,Is he really coming?
"Ya, aku baik-baik saja.","Yes, I'm fine."
Apa maksud dari ucapanmu?,We'll see about that.
Tak lagi.,Not anymore.
"Jika tahu siapa wanita itu, pasti akan kucabik².","If I ever found out who she was, I would rip her to pieces."
Aku menaruh dia diatas itu sendiri.,WAS HAVING BILLY AS A SON.
Pada belati itu?,- On the dagger?
Aku akan pergi bersama saudaraku - aku akan pergi bersamamu,I'm going with my brother. - I'm with you.
Dia tidak pernah bicara tentang ayahnya.,He never talks about his father.
"Oke, aku dibelakangmu.",I got your back.
"Kalaupun tak ada yang terjadi, kau tertarik padanya, kan?","Even if nothing happened, you're interested in him, right?"
Kupikir harapan adalah hal yang berbahaya.,I think... hope is a dangerous thing.
Saya mendaptkan pekerjaan ini ...,"Well, I booked this job..."
"Pak Walikota, terima kasih.","The Mayor, thank you."
"Duduklah, sayangku.",Sit my dear.
Harus ada kendaraan untuk kita.,There should be a drive-on for us.
Darawaaja band karalo Tutup dahulu pintunya,"""Shut the door first"""
Anda terlihat baik.,You look good.
Kau selalu di bangku cadangan.,You were always on the bench.
"Dengar, Papa, biar kubantu.","Look, Papa, let me help you."
"Selain itu, apakah itu membuat kita sebagai perempuan ..","Besides, what sense does it make for our women to.."
"Namun, jika kau berencana untuk mendapatkan semuanya ini,","However, if you're planning on getting all up on this,"
Apakah selalu begitu?,Isn't that always the way?
Red... apa kau sungguh berpikir ada jarak yang bisa pisahkan atau ada lobang yang cukup dalam untuk kau sembunyi?,"Red... Red, did you really think there was a distance you could cover or a hole deep enough that you could hide in?"
- Kamu tahu.,-You know.
Kami sedang menonton Locked Up Abroad.,We're watching Locked Up Abroad.
Ini bukan lucu.,It's not funny.
katakan..,Tell me.
- Ku pikir kau tak tahu apa yang kau lakukan?,I don't think you realize what you're doing?
Itu yang kutanyakan kepada semua orang.,I asked a lot of people that question.
Menghabiskan waktumu untuk mengkhianati Jon.,Picked hell of a time to be unfaithful to Jon.
Aku selalu memikirkan Andrew.,I think about Andrew all the time.
Dr Konrad Steffens memimpin tim yang harus menggali setiap musim semi.,Dr. Konrad Steffens leads the team that has to dig out every spring.
"Hanya bercanda, hanya lelucon, Aku mencoba melucu.",I'm just kidding. That was a joke. I was just joking.
Aku tak yakin dengan ini.,I'm not sure I want to do this.
Akhirnya!,Got him!
"Anda akan berada di sini juga, di 312?","You will be here too,on the 312?"
Aku pemegang saham pada perusahaan tempat suamimu bekerja.,I'm part of the company that employs your husband.
Pikirkan tentang situasi saat ini.,Think about the current situation.
Kultur sel-ku sangat-sangat menjanjikan.,My in vitro tests have been very promising.
Terima kasih.,Thank you.
Jadi kau tidak ikut bersamaku?,So you're not coming with me?
Dia disini Tangkap dia.,He is here! Catch him.
Parah nggak?,How bad is it?
{\cH0000FF}Takut dan bingung mengarah ke panik.,Fear and confusion led to panic.
Masukkan ke dalam tas di dalam mobil.,Put the bag in the car.
"Tarik, tarik!","Go, go!"
Aku Otcho.,I'm Otcho.
Aku tidak tau apa yang harus dikatakan,"Oh, I don't know what to think."
"5'9 "" , 1 £ 80 .","5'9"", 1 80 pounds."
Wujudkanlah.,Make it happen.
Aku adalah Kim Dong Ah.,I am Gim Dong A.
Dia menghianatimu.,She betrayed you.
Aku hanya ingin memastikan ia tidak menyimpang di luar daerah nya penugasan.,I just want to make sure she doesn't stray outside the area of her assignment.
Saya sangat menyesal atas apa yang Anda dan Victoria telah melalui.,I'm so sorry for what you and Victoria have been going through.
"Apa aku benar-benar masih di laboratorium, di tangki ikan?","Am I really still back in the lab, in the fish tank?"
"- Ya, ya, aku baik saja.","- Yeah. Yeah, I'm good."
Apa yang pertama diajakarkan Ayah kepada kita,What's the first thing Dad taught us to look for?
Mencuri uang kontan dan berlian.,Stole cash and diamonds.
Tembak.,Fires.
Beberapa menit lagi dan semuanya akan berakhir.,A few minutes' more work and it'll all be over.
Pyare sangat baik.,Pyare is so sweet.
Tidak!,No!
- Itu adek lo?,- That's your brother?
"Kukira paman kakek Francis memang bunuh diri, dengan senapan berburu.","I thought Great-Uncle Francis did kill himself, with a shotgun."
Apa kau teler?,Are you stoned or something?
Ledakan.,Explosives.
"Dia sudah sadar, wanita yang menggambar itu.","She's awake, the one who drew those."
"""Beberapa dari kami berani.","""Some of us are bold."
"Aku bertemu Mr. Ali di New York, bung.","I met Mr Ali in New York, man."
Apakah benar?,Is it true?
Aku takkan menyentuhnya.,I'm not gonna touch it.
Memasuki kegelapan tanpa tahu siapa atau apa yang ada di sisi lainnya.,Hurling your bodies into the void. - - Without an inkling of who or what is out here.
Anjing jelek.,Bad dog.
"Sialan, ada apa dengan kalian berdua?",God damn it. What the hell is wrong with you?
Datanglah ke ayahmu.,Come to your dad.
Menikahinya.,Marry her.
Ayo.,Come on.
Aku bisa mendengarmu bicara terengah-engah.,I can hear you speak without gasping.
Kita perlu membuka mata kita.,We need to open our eyes.
Tentang apa?,About what?
- Mengapa garam ...,- Why you have salts in you..
Di mana mereka ditahan?,Where're they being held?
Dalam ruang,So i toke loans
Tanda plus kecil berwarna pink sangat tak suci.,The little pink plus sign is so unholy.
"Kita belum masa percobaan, Pengacara.","We're not on trial yet, counselor."
Apa yg harus kukatakan?,What should I say?
- Gila kontrol.,- Control freak.
Hatimu berusaha mengatakan sesuatu.,It's trying to tell you something.
Sampah JV.,JV shit.
Aku membuatnya berpikir bahwa seluruh hidupku berputar disekitarnya.,I've made her think my entire world revolves around her.
Winston.,Winston.
Siap.,Ready.
Aku tahu tidak ada yang lain,I know there weren't any other
Turki tak pernah menaklukkan Ibukota Eropa.,The Turks never conquered the capitals of Europe.
"Yah, hanya karena Anda belum pernah mendengar tentang hal itu tidak berarti tidak dapat terjadi.","Well, just because you haven't heard of it doesn't mean it can't happen."
Itu karena lain 90% diisi dengan dadih dan whey.,That's because the other 90% is filled with curds and whey.
Kau bahkan menikmati makan kimchi asinan.,You even had the sour kimchi so well.
Ikan. benar.,Fish. Right on.
"Ayo, akan kutunjukkan padamu.","Come on , I'll show you."
Kau tak akan percaya ini...,You're not going to believe it!
Membawanya kembali ke dalam kehidupan ini.,But I'm going to bring her back.
Bisa ulangi? / 555-6936.,"- Can you repeat that, please?"
Jay!,Jay!
"Kau harus membantunya menjadi ""salah satu.""",You've got to help her be one.
- Kau dengar itu?,- You hear that?
"Dan kita harus bekerja sebagai tim, membuat keputusan bersama.","And we have to be on the same team, making decisions together."
"Hei, bayaranku bagaimana?",What about my rice?
"Ayolah, sayang.","...floating high to deep center field! Come on, baby."
"Dan kemudian, aku akan membunuh dia juga.","And then, I'm going to kill her, too."
Tapi bukan untuk pelacak.,But not for a tracker.
Marsupial terangsang bernama Reeve.,A horny marsupial named Reeves
-Maksudmu Will.i.am?,-You mean Will.i.am?
Dia tidak akan memotong kepalamu untuk ini?,He ain't gonna cut your head off for this?
"Fort Meade, Maryland.","Fort Meade, Maryland."
Mike Kaiser.,Mike kaiser.
Keluarga Gong belum pernah terkalahkan.,The Gongs have never been defeated.
Ayo kita pergi.,Let's go.
Aku mengerti.,Oh. I see how it is.
"Oh, di sana kita","Oh, here we go."
Dan dia?,And her?
Jangan meremehkan kekuatanku untuk meramalkan masa depan.,Don't look down on a god of death's keen senses.
Ini dia.,Here you go.
Tapi...,But...
"Jika ini bisa menghibur, Dr. Palmer, Kau bukan pahlawan sama sekali.","If it's any consolation, Dr. Palmer, you're not really a hero."
Aku baru saja bertelponan dengan Detektif Wilcox.,I just got off the phone with Detective Wilcox.
"Aku sendiri yang akan kembalikan, oke?",I'll return it myself.
"Sebelum aku masuk, kau harus tau, aku membawa gas.","Before I come in, you should know, I have gas."
"!""","!"""
Campbell adalah pukul 3:55.,Campbell's at 3:55.
"""""I can die for you, no harm saying so!""","""I can die for you, no harm saying so!"""
"Kaubelumpunyapacar,kan, ?",Do you have a bo_riend? No?
Kubilang aku tak bisa mengatakannya.,I said I can't do that.
Kerjamu bagus.,You did good.
Hanya waktu yang kita punya.,- Time is the one thing we do have.
Kamu selalu menarik garis yang jelas antara kami.,You always draw a clear line between us.
"Mereka tidak menyerang the Kingdom, tapi... kata Daryl mereka menyerang Alexandria.","They're not fighting with the Kingdom, but... Daryl said they beat them back in Alexandria."
Tanpa dasi?,No tie?
Dan Anda aIso orang yang sangat jujur ? .,And you are also a very honest man.
Mungkin semuanya tidak sejelas yang kukira.,Maybe everything's not as black and white as I thought.
"Itu baru anakku, itu baru anakku.",That's my boy! That's my boy!
"Bukan, bukan itu, sebenarnya.","No, not that, per se."
D.H. DH.,D.H. DH.
Pastinya.,Sure do.
Untuk perdamaian dunia.,To world peace.
Cepat.,Go!
Dingin sekali.,It's really cool.
Hey.,Hey.
Aku melakukan pelacakan pada Marie Fontenot. Mendapatkan beberapa laporan tua.,Got some old sheets.
KamidiWoodsideHospitalSouthwest tahu bahwa ini adalah berteriak minta tolong,We at Southwest Woodside Hospital know that these are cry for help.
"Ya, aku cukup yakin Aku tidak seharusnya memberitahu Anda bahwa.","Yeah, I'm pretty sure I'm not supposed to tell you that."
"Bagus. Kau talah bekerja dengan baik pada hari pertamamu, hal ini sungguh menakjubkan.","Good, you've got a great record just on the first day."
Inilah yang saya punya.,Here's what I've got.
Kau bercanda?,Are you kidding?
aku tidak sempurna.,I'm not perfect.
Apa kau tahu di mana aku mendengar lemon yang sangat lezatdan segar?,Do you know where I hear the lemons are particularly lovely and fresh?
"Dua kata, kawan.","Uh, two words, my friend..."
Kau bangkrut dan aku juga akan bangkrut.,You're broke. I'm almost there myself.
ini bukan Cortexiphan.,This is not Cortexiphan.
Kau menerima pekerjaan di Kota New York tanpa bicara denganku ?,You took a job in New York City without talking to me?
Cayman adalah salah satu dermawan top di D.C..,Cayman is one of D.C.'s top philanthropists.
"Ya, tentu.","Yeah, sure."
Dia takkan mengatakan apa-apa..,He isn't going to say anything.
"Jadi, mengajakku makan malam dengan cinta sejatimu itu apa, Oliver?","So, making me have dinner with the love of your life is what, Oliver?"
Sudahkah kalian video di YouTube?,Have you seen the video uploaded on YouTube?
Bumsoo tidak akan merubah pendiriannya,Beom-su wouldn't give up his will
"- Dengar, bisa saya menanyakan sesuatu?","- Listen, can I ask you something?"
Tetap pada rencana!,Stick to the plan!
/ Aku tidak.,- I don't.
Ketika Anda keluar dari sini beberapa hari ... Anda akan menjadi orang terkaya di Kiev.,When you get out of here some day... you'll be the richest man in Kiev.
Dia memohon.,She's totally begging.
Ju-young!,Ju-young!
"Maaf, menurut Anda apa ada kemungkinan pembunuh itu sedang menonton Anda?","Excuse me, do you think it's possible... that the killer could be watching you now?"
Bukankah itu Prof. Hugh?,Isn't it Professor Hugh?
Sepertinya seru!,Sound so exciting!
- Kurasa aku mencium bau Montgomery.,- I think I smell Montgomery.
aku akan menunjukkan tempat yang jauh lebih menarik daripada di kolam renang!,But I got a better place to take you than the pool.
Selalu ada pertarungan.,It's always a fight.
Hanya bernyanyi di kala hujan.,Just singing in the rain
Apa pagi ini ibu sudah minum-minum?,Have you been drinking?
Grover !,Grover!
Tapi kukira segalanya lain sekarang.,But I guess things are different now.
"""Kalau begitu, kami akan terus jalan""",- You almost got bitten.
Aku harus mengetahuinya.,I need to know.
Ambillah.,Take it.
"NARVIK-B, salah satu yang merubah orang menjadi...","NARVIK-B, the one that turns people into..."
"Meninggalkan kami, Gorman.","Leave us, Gorman."
Namun lymphocyte seharusnya tidak dibuat dari protein.,One clue is that lymph corpuscles are composed of bone marrow.
"Jika uangku aku belanjakan disini, Berarti harus menjadi kenyataan.","If I'm gonna put my money into this, it needs to be real."
"""Saya tahu apa yang Anda pergi ke sekolah.""","""I know what school you go to."""
Dimana Ibu Sahani .,Where's Mrs. Sahani.
"Ini rumahnya Sookie, dan dia bisa pulang kapan saja.","It's Sookie's house, and she can come home anytime."
Terima kasih.,Thank you.
